Name,VoxCeleb2ID,VGGFace2,Gender,Set,Ethnicity
Adrienne_Bailon,id00097,n000097,f,dev,Caucasian Latin
Adrienne_Frantz,id00098,n000098,f,dev,Caucasian Latin
Adrienne_Janic,id00099,n000099,f,dev,Caucasian Latin
Adrienne_Maloof,id00100,n000100,f,dev,Caucasian Latin
Aftab_Shivdasani,id00103,n000103,m,dev,Asian Indian
Agata_Buzek,id00104,n000104,f,dev,Caucasian Latin
Agata_Kulesza,id00105,n000105,f,dev,Caucasian Latin
Agnieszka_Grochowska,id00109,n000109,f,dev,Caucasian Latin
Agnieszka_Radwańska,id00111,n000111,f,dev,Caucasian Latin
Agnès_Jaoui,id00114,n000114,f,dev,Caucasian Latin
Agung_Laksono,id00116,n000116,m,dev,East Asian
Agus_Martowardojo,id00117,n000117,m,dev,East Asian
Ahmad_Zahid_Hamidi,id00126,n000126,m,dev,East Asian
Ahmed_Elmohamady,id00127,n000127,m,dev,Caucasian Latin
Ahmed_Shehzad,id00128,n000128,m,dev,Asian Indian
Ahmet_Davutoğlu,id00129,n000129,m,dev,Caucasian Latin
Ai-Ai_de_las_Alas,id00134,n000140,f,dev,Caucasian Latin
Ai_Miyazato,id00137,n000136,f,dev,East Asian
Aimee_Mullins,id00144,n000144,f,dev,Caucasian Latin
Aimee_Teegarden,id00145,n000145,f,dev,Caucasian Latin
Aindrita_Ray,id00146,n000146,f,dev,Asian Indian
Aishwarya_Rai_Bachchan,id00149,n000149,f,dev,Caucasian Latin
Aitor_Karanka,id00151,n000151,m,dev,Caucasian Latin
Ajay_Devgan,id00154,n000154,m,test,Asian Indian
Ajay_Rochester,id00155,n000155,f,dev,Caucasian Latin
Akhilesh_Yadav,id00159,n000159,m,dev,Asian Indian
Akio_Toyoda,id00161,n000161,m,dev,East Asian
Akkineni_Nagarjuna,id00163,n000163,m,dev,Asian Indian
Aksel_Lund_Svindal,id00164,n000164,m,dev,Caucasian Latin
Akshay_Oberoi,id00165,n000165,m,dev,Asian Indian
Al-Farouq_Aminu,id00166,n000173,m,dev,African American
Al_Bano_Carrisi,id00167,n000166,m,dev,Caucasian Latin
Al_Franken,id00168,n000167,m,dev,Caucasian Latin
Al_Golden,id00169,n000168,m,dev,Caucasian Latin
Al_Jarreau,id00170,n000169,m,dev,Caucasian Latin
Al_Murray,id00171,n000170,m,dev,Caucasian Latin
Al_Roker,id00172,n000171,m,dev,African American
Al_Sharpton,id00173,n000172,m,dev,African American
Alain_Finkielkraut,id00175,n000175,m,dev,Caucasian Latin
Alain_Juppé,id00176,n000176,m,dev,Caucasian Latin
Alain_Minc,id00177,n000177,m,dev,Caucasian Latin
Alain_Vigneault,id00179,n000179,m,dev,Caucasian Latin
Alaina_Huffman,id00180,n000180,f,dev,Caucasian Latin
Alan_Carr,id00181,n000181,m,dev,Caucasian Latin
Alan_Hutton,id00183,n000183,m,dev,Caucasian Latin
Alan_Mulally,id00184,n000184,m,dev,Caucasian Latin
Alan_Pardew,id00185,n000185,m,dev,Caucasian Latin
Alan_Shearer,id00186,n000186,m,dev,Caucasian Latin
Alan_Sugar,id00187,n000187,m,dev,Caucasian Latin
Alana_Curry,id00188,n000188,f,dev,Caucasian Latin
Alana_Nichols,id00189,n000189,f,dev,Caucasian Latin
Alana_de_la_Garza,id00190,n000190,f,dev,Caucasian Latin
Alassane_Ouattara,id00191,n000191,m,dev,African American
Alastair_Cook,id00192,n000192,m,dev,Caucasian Latin
Albert_Pujols,id00195,n000195,m,dev,Caucasian Latin
Albert_Sosnowski,id00197,n000197,m,dev,Caucasian Latin
Alberto_Del_Rio,id00198,n000198,m,dev,Caucasian Latin
Alberto_Malesani,id00201,n000201,m,dev,Caucasian Latin
Alberto_Núñez_Feijóo,id00202,n000202,m,dev,Caucasian Latin
Alberto_Ruiz-Gallardón,id00203,n000203,m,dev,Caucasian Latin
Aldo_Rebelo,id00206,n000206,m,dev,Caucasian Latin
Alek_Wek,id00220,n000220,m,dev,African American
Aleks_Syntek,id00221,n000221,m,dev,Caucasian Latin
Aleksandar_Mitrović,id00222,n000222,m,dev,Caucasian Latin
Aleksandar_Vučić,id00223,n000223,m,dev,Caucasian Latin
Aleksander_Kwaśniewski,id00225,n000225,m,dev,Caucasian Latin
Alela_Diane,id00231,n000231,f,dev,Caucasian Latin
Alena_Zavarzina,id00232,n000232,f,dev,Caucasian Latin
Alesha_Dixon,id00234,n000234,f,dev,African American
Alesia_Raut,id00235,n000235,f,dev,Asian Indian
Alessandra_Amoroso,id00236,n000236,f,dev,Caucasian Latin
Alessandra_Mastronardi,id00238,n000238,f,dev,Caucasian Latin
Alessandra_Mussolini,id00239,n000239,f,dev,Caucasian Latin
Alessandro_Del_Piero,id00241,n000241,m,dev,Caucasian Latin
Alessandro_Nesta,id00242,n000242,m,dev,Caucasian Latin
Alessandro_Nivola,id00243,n000243,m,dev,Caucasian Latin
Alessandro_Profumo,id00244,n000244,m,dev,Caucasian Latin
Alessandro_Safina,id00245,n000245,m,dev,Caucasian Latin
Alessandro_Sartori,id00246,n000246,m,dev,Caucasian Latin
Alessio_Boni,id00249,n000249,m,dev,Caucasian Latin
Alex_Aniston,id00251,n000251,f,dev,Caucasian Latin
Alex_Cora,id00253,n000253,m,dev,African American
Alex_Ebert,id00254,n000254,m,dev,Caucasian Latin
Alex_Ferguson,id00255,n000255,m,dev,Caucasian Latin
Alex_Gaskarth,id00257,n000257,m,dev,Caucasian Latin
Alex_Gibney,id00258,n000258,m,dev,Caucasian Latin
Alex_Gonzaga,id00259,n000259,f,dev,East Asian
Alex_Meneses,id00261,n000261,f,dev,Caucasian Latin
Alex_Morgan,id00262,n000262,f,dev,Caucasian Latin
Alex_OLoughlin,id00264,n000264,m,dev,Caucasian Latin
Alex_Oxlade-Chamberlain,id00265,n000265,m,dev,African American
Alex_Salmond,id00266,n000266,m,dev,Caucasian Latin
Alex_Turner,id00268,n000268,m,dev,Caucasian Latin
Alex_van_Warmerdam,id00269,n000269,m,dev,Caucasian Latin
Alexa_Chung,id00270,n000270,f,dev,Caucasian Latin
Alexa_Ray_Joel,id00271,n000271,f,dev,Caucasian Latin
Alexa_Vega,id00272,n000272,f,dev,Caucasian Latin
Alexander_Dobrindt,id00274,n000274,m,dev,Caucasian Latin
Alexander_Fehling,id00275,n000275,m,dev,Caucasian Latin
Alexander_Gerst,id00276,n000276,m,dev,Caucasian Latin
Alexander_Klaws,id00277,n000277,m,dev,Caucasian Latin
Alexander_Merkel,id00279,n000279,m,dev,Caucasian Latin
Alexander_Payne,id00281,n000281,m,dev,Caucasian Latin
Alexander_Skarsgård,id00282,n000282,m,dev,Caucasian Latin
Alexandr_Dolgopolov,id00283,n000283,m,dev,Caucasian Latin
Alexandra_Kamp,id00285,n000285,f,dev,Caucasian Latin
Alexandra_Lamy,id00286,n000286,f,dev,Caucasian Latin
Alexandra_Lara,id00287,n000287,f,dev,Caucasian Latin
Alexandra_Neldel,id00288,n000288,f,dev,Caucasian Latin
Alexandra_Paul,id00289,n000289,f,dev,Caucasian Latin
Alexandra_Socha,id00290,n000290,f,dev,Caucasian Latin
Alexandra_Wentworth,id00291,n000291,f,dev,Caucasian Latin
Alexandre_Bilodeau,id00292,n000292,m,dev,Caucasian Latin
Alexei_Kudrin,id00296,n000296,m,dev,Caucasian Latin
Alexis_Bledel,id00297,n000297,f,dev,Caucasian Latin
Alexis_Georgoulis,id00298,n000298,m,dev,Caucasian Latin
Alexis_Jordan,id00299,n000299,f,dev,African American
Alexis_Sánchez,id00300,n000300,m,dev,Caucasian Latin
Alexis_Texas,id00301,n000301,f,dev,Caucasian Latin
Alexis_Tsipras,id00302,n000302,m,dev,Caucasian Latin
Alexis_Valdés,id00303,n000303,m,dev,Caucasian Latin
Aleš_Brichta,id00304,n000304,m,dev,Caucasian Latin
Alfie_Allen,id00305,n000305,m,dev,Caucasian Latin
Alfie_Boe,id00306,n000306,m,dev,Caucasian Latin
Alfonso_Herrera,id00309,n000309,m,dev,Caucasian Latin
Alfred_Biolek,id00311,n000311,m,dev,Caucasian Latin
Alfred_Dorfer,id00312,n000312,m,dev,Caucasian Latin
Alfred_Schreuder,id00313,n000313,m,dev,Caucasian Latin
Alfredo_Pérez_Rubalcaba,id00314,n000314,m,dev,Caucasian Latin
Algirdas_Butkevičius,id00316,n000316,m,dev,Caucasian Latin
Algirdas_Šemeta,id00317,n000317,m,dev,Caucasian Latin
Ali_Akbar_Salehi,id00318,n000318,m,dev,Caucasian Latin
Ali_Bastian,id00319,n000319,f,dev,Caucasian Latin
Ali_Krieger,id00320,n000320,f,dev,Caucasian Latin
Ali_al-Naimi,id00322,n000322,m,dev,Caucasian Latin
Alia_Shawkat,id00323,n000323,f,dev,Caucasian Latin
Alice_Bah_Kuhnke,id00324,n000324,f,dev,African American
Alice_Beer,id00325,n000325,f,dev,Caucasian Latin
Alice_Sara_Ott,id00328,n000328,f,dev,East Asian
Alice_Taglioni,id00329,n000329,f,dev,Caucasian Latin
Alicia_Sacramone,id00330,n000330,f,dev,Caucasian Latin
Alicia_Sánchez-Camacho,id00331,n000331,f,dev,Caucasian Latin
Alicia_Vikander,id00332,n000332,f,dev,Caucasian Latin
Aline_Weber,id00336,n000336,f,dev,Caucasian Latin
Alison_King,id00341,n000341,f,dev,Caucasian Latin
Alison_Riske,id00342,n000342,f,dev,Caucasian Latin
Alissa_Czisny,id00343,n000343,f,dev,Caucasian Latin
Alissa_White-Gluz,id00344,n000344,f,dev,Caucasian Latin
Alistair_Overeem,id00345,n000345,m,dev,African American
Alka_Yagnik,id00346,n000346,f,dev,Asian Indian
Alla_Pugacheva,id00347,n000347,f,dev,Caucasian Latin
Allan_McGregor,id00348,n000348,m,dev,Caucasian Latin
Allari_Naresh,id00350,n000350,m,dev,Asian Indian
Allegra_Versace,id00351,n000351,f,dev,Caucasian Latin
Allen_Leech,id00352,n000352,m,dev,Caucasian Latin
Allen_West,id00353,n000353,m,dev,African American
Alley_Mills,id00354,n000354,f,dev,Caucasian Latin
Allison_Holker,id00355,n000355,f,dev,Caucasian Latin
Allison_Iraheta,id00356,n000356,f,dev,Caucasian Latin
Allison_Mack,id00357,n000357,f,dev,Caucasian Latin
Ally_McCoist,id00358,n000358,m,dev,Caucasian Latin
Allyson_Felix,id00359,n000359,f,dev,African American
Almazbek_Atambayev,id00361,n000361,m,dev,Caucasian Latin
Alodia_Gosiengfiao,id00363,n000363,f,dev,East Asian
Alona_Tal,id00365,n000365,f,dev,Caucasian Latin
Alonzo_Bodden,id00366,n000366,m,dev,African American
Alun_Wyn_Jones,id00368,n000368,m,dev,Caucasian Latin
Alysia_Montaño,id00371,n000371,f,dev,African American
Alysia_Reiner,id00372,n000372,f,dev,Caucasian Latin
Alyson_Hannigan,id00373,n000373,f,dev,Caucasian Latin
Alyson_Stoner,id00374,n000374,f,dev,Caucasian Latin
Amaia_Salamanca,id00376,n000376,f,dev,Caucasian Latin
Amala_Akkineni,id00377,n000377,f,dev,Asian Indian
Amala_Paul,id00378,n000378,f,dev,Asian Indian
Amanda_Beard,id00379,n000379,f,dev,Caucasian Latin
Amanda_Byram,id00380,n000380,f,dev,Caucasian Latin
Amanda_Crew,id00381,n000381,f,dev,Caucasian Latin
Amanda_Knox,id00383,n000383,f,dev,Caucasian Latin
Amanda_Palmer,id00385,n000385,f,dev,Caucasian Latin
Amanda_Redman,id00386,n000386,f,dev,Caucasian Latin
Amanda_Righetti,id00387,n000387,f,dev,Caucasian Latin
Amanda_Schull,id00388,n000388,f,dev,Caucasian Latin
Amar_Ghoul,id00389,n000389,m,dev,Caucasian Latin
Amar_Osim,id00390,n000390,m,dev,Caucasian Latin
Amare_Stoudemire,id00391,n000391,m,dev,African American
Amaury_Vassili,id00393,n000393,m,dev,Caucasian Latin
Amber_Heard,id00395,n000395,f,dev,Caucasian Latin
Amber_Le_Bon,id00397,n000397,f,dev,Caucasian Latin
Amber_Stevens,id00398,n000398,f,dev,African American
Amber_Valletta,id00399,n000399,f,dev,Caucasian Latin
Amel_Bent,id00401,n000401,f,dev,African American
Amelia_Vega,id00402,n000402,f,dev,Caucasian Latin
Amelle_Berrabah,id00403,n000403,f,dev,Caucasian Latin
America_Olivo,id00405,n000405,f,dev,Caucasian Latin
Amerie,id00406,n000406,f,dev,African American
Ami_James,id00407,n000407,m,dev,Caucasian Latin
Amien_Rais,id00409,n000409,m,dev,East Asian
Amira_Casar,id00411,n000411,f,dev,Caucasian Latin
Amit_Sadh,id00412,n000412,m,dev,Asian Indian
Amit_Shah,id00413,n000413,m,dev,Asian Indian
Amjad_Ali_Khan,id00414,n000414,m,dev,Asian Indian
Amr_Shabana,id00415,n000415,m,dev,Caucasian Latin
Amrinder_Gill,id00416,n000416,m,dev,Asian Indian
Amruta_Khanvilkar,id00417,n000417,f,dev,Asian Indian
Amy_Acker,id00418,n000418,f,dev,Caucasian Latin
Amy_Adams,id00419,n000419,f,test,Caucasian Latin
Amy_Brenneman,id00420,n000420,f,dev,Caucasian Latin
Amy_Diamond,id00421,n000421,f,dev,Caucasian Latin
Amy_Dumas,id00422,n000422,f,dev,Caucasian Latin
Amy_Fisher,id00423,n000423,f,dev,Caucasian Latin
Amy_Huberman,id00425,n000425,f,dev,Caucasian Latin
Amy_Paffrath,id00426,n000426,f,dev,Caucasian Latin
Amy_Pascal,id00427,n000427,f,dev,Caucasian Latin
Amy_Robach,id00428,n000428,f,dev,Caucasian Latin
Amy_Smart,id00429,n000429,f,dev,Caucasian Latin
Amy_Tan,id00430,n000430,f,dev,East Asian
Amy_Van_Dyken,id00431,n000431,f,dev,Caucasian Latin
Amy_Williams,id00432,n000432,f,dev,Caucasian Latin
Amélie_Mauresmo,id00434,n000434,f,dev,Caucasian Latin
Amélie_Nothomb,id00435,n000435,f,dev,Caucasian Latin
An_Jeong-hwan,id00436,n000436,m,dev,East Asian
An_Lemmens,id00437,n000437,f,dev,Caucasian Latin
Ana_Beatriz_Barros,id00438,n000438,f,dev,Caucasian Latin
Ana_Hickmann,id00444,n000444,f,dev,Caucasian Latin
Ana_Layevska,id00445,n000445,f,dev,Caucasian Latin
Ana_Moura,id00448,n000448,f,dev,Caucasian Latin
Ana_Patricia_Botin,id00449,n000449,f,dev,Caucasian Latin
Ana_Paula_Arósio,id00450,n000450,f,dev,Caucasian Latin
Ana_de_la_Reguera,id00456,n000456,f,dev,Caucasian Latin
Anahí_de_Cardenas,id00457,n000457,f,dev,Caucasian Latin
Analeigh_Tipton,id00458,n000458,f,dev,Caucasian Latin
Anand_Mahindra,id00459,n000459,m,dev,Asian Indian
Ananda_Lewis,id00460,n000460,f,dev,African American
Ananya,id00461,n000461,f,dev,Asian Indian
Anastacia,id00462,n000462,f,dev,Caucasian Latin
Anastasia_Volochkova,id00463,n000463,f,dev,Caucasian Latin
Anastasia_Zampounidis,id00464,n000464,f,dev,Caucasian Latin
Anaïs_Demoustier,id00465,n000465,f,dev,Caucasian Latin
Anders_Fannemel,id00467,n000467,m,dev,Caucasian Latin
Anders_Osborne,id00468,n000468,m,dev,Caucasian Latin
Anderson_Cooper,id00469,n000469,m,dev,Caucasian Latin
Andie_MacDowell,id00472,n000472,f,dev,Caucasian Latin
Andien,id00473,n000473,f,dev,East Asian
Andre_Berto,id00475,n000475,m,dev,African American
Andre_Iguodala,id00476,n000476,m,dev,African American
Andre_Ward,id00478,n000478,m,dev,African American
Andrea_Agnelli,id00479,n000479,m,dev,Caucasian Latin
Andrea_Bargnani,id00481,n000481,m,dev,Caucasian Latin
Andrea_Berg,id00482,n000482,f,dev,Caucasian Latin
Andrea_Bocelli,id00483,n000483,m,dev,Caucasian Latin
Andrea_Corr,id00484,n000484,f,dev,Caucasian Latin
Andrea_Elisabeth_Rudolph,id00486,n000486,f,dev,Caucasian Latin
Andrea_Jeremiah,id00488,n000488,f,dev,Asian Indian
Andrea_Kaiser,id00489,n000489,f,dev,Caucasian Latin
Andrea_Mandorlini,id00490,n000490,m,dev,Caucasian Latin
Andrea_McLean,id00491,n000491,f,dev,Caucasian Latin
Andrea_Mitchell,id00492,n000492,f,dev,Caucasian Latin
Andrea_Nahles,id00494,n000494,f,dev,Caucasian Latin
Andrea_Osvárt,id00495,n000495,f,dev,Caucasian Latin
Andrea_Parker,id00496,n000496,f,dev,Caucasian Latin
Andrea_Ranocchia,id00498,n000498,m,dev,Caucasian Latin
Andrea_Sawatzki,id00500,n000500,f,dev,Caucasian Latin
Andrea_Serna,id00501,n000501,f,dev,Caucasian Latin
Andrea_Tantaros,id00502,n000502,f,dev,Caucasian Latin
Andrea_Veresova,id00503,n000503,f,dev,Caucasian Latin
Andrea_Ypsilanti,id00504,n000504,f,dev,Caucasian Latin
Andrea_Šušnjara,id00505,n000505,f,dev,Caucasian Latin
Andreas_Birnbacher,id00506,n000506,m,dev,Caucasian Latin
Andreas_Dresen,id00507,n000507,m,dev,Caucasian Latin
Andreas_Gabalier,id00508,n000508,m,dev,Caucasian Latin
Andreas_Jancke,id00509,n000509,m,dev,Caucasian Latin
Andreas_Lundstedt,id00510,n000510,m,dev,Caucasian Latin
Andreas_Pinkwart,id00512,n000512,m,dev,Caucasian Latin
Andreas_Scheuer,id00513,n000513,m,dev,Caucasian Latin
Andreas_Seppi,id00514,n000514,m,dev,Caucasian Latin
Andreea_Mitu,id00515,n000515,f,dev,Caucasian Latin
Andrei_Arlovski,id00516,n000516,m,dev,Caucasian Latin
Andrei_Kirilenko,id00517,n000517,m,dev,Caucasian Latin
Andrew_Bynum,id00518,n000518,m,dev,African American
Andrew_Fifita,id00519,n000519,m,dev,Caucasian Latin
Andrew_Flintoff,id00520,n000520,m,dev,Caucasian Latin
Andrew_Lincoln,id00521,n000521,m,dev,Caucasian Latin
Andrew_Lloyd_Webber,id00522,n000522,m,dev,Caucasian Latin
Andrew_Strauss,id00524,n000524,m,dev,Caucasian Latin
Andrew_Symonds,id00525,n000525,m,dev,Caucasian Latin
Andrew_Trimble,id00526,n000526,m,dev,Caucasian Latin
Andrew_Upton,id00527,n000527,m,dev,Caucasian Latin
Andrew_VanWyngarden,id00528,n000528,m,dev,Caucasian Latin
Andrew_W.K.,id00529,n000529,m,dev,Caucasian Latin
Andrew_Zimmern,id00530,n000530,m,dev,Caucasian Latin
Andrey_Amador,id00531,n000531,m,dev,Caucasian Latin
Andris_Nelsons,id00534,n000534,m,dev,Caucasian Latin
Andriy_Shevchenko,id00535,n000535,m,dev,Caucasian Latin
André_3000,id00539,n000538,m,dev,African American
André_Breitenreiter,id00542,n000541,m,dev,Caucasian Latin
André_Kuipers,id00543,n000542,m,dev,Caucasian Latin
André_Manoukian,id00544,n000543,m,dev,Caucasian Latin
André_Rieu,id00545,n000544,m,dev,Caucasian Latin
André_Schürrle,id00546,n000545,m,dev,Caucasian Latin
André_Villas-Boas,id00548,n000547,m,dev,Caucasian Latin
Andrés_Guardado,id00550,n000550,m,dev,Caucasian Latin
Andrés_Manuel_López_Obrador,id00552,n000552,m,dev,Caucasian Latin
Andrés_Nocioni,id00553,n000553,m,dev,Caucasian Latin
Andrés_Velencoso,id00554,n000554,m,dev,Caucasian Latin
Andy_Allo,id00555,n000555,m,dev,Caucasian Latin
Andy_Borg,id00557,n000557,m,dev,Caucasian Latin
Andy_Burnham,id00558,n000558,m,dev,Caucasian Latin
Andy_Carroll,id00559,n000559,m,dev,Caucasian Latin
Andy_Lau,id00560,n000560,m,dev,East Asian
Andy_Reid,id00561,n000561,m,dev,Caucasian Latin
Andy_Roddick,id00562,n000562,m,test,Caucasian Latin
Angel_Locsin,id00566,n000566,f,dev,East Asian
Angel_Porrino,id00567,n000567,f,dev,Caucasian Latin
Angela_Bassett,id00568,n000568,f,dev,African American
Angela_Gheorghiu,id00569,n000569,f,dev,Caucasian Latin
Angela_Gossow,id00570,n000570,f,dev,Caucasian Latin
Angela_Groothuizen,id00571,n000571,f,dev,Caucasian Latin
Angela_Martini,id00573,n000573,f,dev,Caucasian Latin
Angela_Rippon,id00574,n000574,f,dev,Caucasian Latin
Angela_Sarafyan,id00575,n000575,f,dev,Caucasian Latin
Angela_Simmons,id00577,n000577,f,dev,African American
Angela_Yee,id00578,n000578,f,dev,African American
Angelababy,id00579,n000579,f,dev,East Asian
Angelica_Celaya,id00581,n000581,f,dev,Caucasian Latin
Angelica_Panganiban,id00582,n000582,f,dev,East Asian
Angelique_Kerber,id00584,n000584,f,dev,Caucasian Latin
Angelique_Morgan,id00585,n000585,f,dev,Caucasian Latin
Angelo_Mathews,id00586,n000586,m,dev,African American
Angelo_Scola,id00587,n000587,m,dev,Caucasian Latin
Angham,id00588,n000588,f,dev,Asian Indian
Angie_Cepeda,id00589,n000589,f,dev,Caucasian Latin
Angie_Everhart,id00591,n000591,f,dev,Caucasian Latin
Angie_Motshekga,id00592,n000592,f,dev,African American
Angie_Stone,id00593,n000593,f,dev,African American
Angus_Deayton,id00594,n000594,m,dev,Caucasian Latin
Angélique_Kidjo,id00596,n000596,m,dev,African American
Anifah_Aman,id00597,n000597,m,dev,East Asian
Anita_Włodarczyk,id00607,n000607,f,dev,Caucasian Latin
Anja_Kling,id00608,n000608,f,dev,Caucasian Latin
Anjali,id00610,n000610,f,dev,Asian Indian
Anjana_Sukhani,id00611,n000611,f,dev,Asian Indian
Anjelah_Johnson,id00612,n000612,f,dev,Caucasian Latin
Anjelica_Huston,id00613,n000613,f,dev,Caucasian Latin
Anke_Engelke,id00614,n000614,f,dev,Caucasian Latin
Anke_Huber,id00615,n000615,f,dev,Caucasian Latin
Ann_Curry,id00616,n000616,f,dev,East Asian
Anna-Maria_Zimmermann,id00617,n000639,f,dev,Caucasian Latin
AnnaLynne_McCord,id00618,n000640,f,dev,Caucasian Latin
Anna_Bligh,id00620,n000618,f,dev,Caucasian Latin
Anna_Chakvetadze,id00621,n000619,f,dev,Caucasian Latin
Anna_Chlumsky,id00622,n000620,f,dev,Caucasian Latin
Anna_Finocchiaro,id00623,n000621,f,dev,Caucasian Latin
Anna_Hutchison,id00624,n000622,f,dev,Caucasian Latin
Anna_Karina,id00628,n000626,f,dev,Caucasian Latin
Anna_Kinberg_Batra,id00629,n000627,f,dev,Caucasian Latin
Anna_Loos,id00631,n000629,f,dev,Caucasian Latin
Anna_Maria_Mühe,id00632,n000630,f,dev,Caucasian Latin
Anna_Meares,id00633,n000631,f,dev,Caucasian Latin
Anna_Mouglalis,id00634,n000632,f,dev,Caucasian Latin
Anna_Nalick,id00636,n000634,f,dev,Caucasian Latin
Anna_Nordqvist,id00637,n000635,f,dev,Caucasian Latin
Anna_Puu,id00638,n000636,f,dev,Caucasian Latin
Annabelle_Mandeng,id00641,n000641,f,dev,Caucasian Latin
Anne_Princess_Royal,id00642,n000658,f,,Caucasian Latin
Anne-Marie_Duff,id00643,n000659,f,dev,Caucasian Latin
Anne-Sophie_Briest,id00644,n000660,f,dev,Caucasian Latin
Anne-Sophie_Lapix,id00645,n000661,f,dev,Caucasian Latin
Anne_Curtis,id00647,n000643,f,dev,East Asian
Anne_Dudek,id00648,n000644,f,dev,Caucasian Latin
Anne_Heche,id00649,n000645,f,dev,Caucasian Latin
Anne_Hidalgo,id00650,n000646,f,dev,Caucasian Latin
Anne_Igartiburu,id00651,n000647,f,dev,Caucasian Latin
Anne_Kirkbride,id00652,n000648,f,dev,Caucasian Latin
Anne_Kukkohovi,id00653,n000649,f,dev,Caucasian Latin
Anne_Lauvergeon,id00654,n000650,f,dev,Caucasian Latin
Anne_Linnet,id00655,n000651,f,dev,Caucasian Latin
Anne_Robinson,id00656,n000652,f,dev,Caucasian Latin
