VoxCeleb2ID,Reference,Publish Date
id09205,h4hQepfGCrA,2013-06-20
id09205,y8LT1WBUwuw,2015-09-03
id09205,KNXmWPjxUKg,2012-08-14
id09205,Aro5W4pHKiI,2015-03-06
id09205,MwT_00X9GXo,2013-06-27
id09205,pVivgaVGdr4,2015-05-19
id09205,0Ua3b0FxB48,2013-08-15
id09205,k9XfLYz0_Ac,2016-06-25
id09205,Fi66sh32sjg,2016-08-13
id09205,SdL3wJTGeR4,2015-07-24
id09205,vIEhotyT5Fg,2016-05-18
id09205,r4lr1EY0-90,2015-08-26
id09205,8zS80L_tx6M,2014-07-11
id09205,kpETCgUI-20,2015-03-08
id08611,pYCs86zo3MM,2016-03-19
id08611,nktSkXxyl24,2015-02-20
id08611,Q3J4tmPP2p0,2015-01-09
id08611,bydasev4xT4,2014-07-12
id08611,qeEF04z7JoQ,2014-01-28
id08611,w6riqnYP0rI,2014-10-24
id08611,8MoWYDfh8Dk,2014-04-13
id08611,reml3xlX3WY,2016-03-11
id08611,gWsY8hvkIts,2016-05-30
id08611,ONk5VZDE9ME,2016-03-15
id08611,Q3vEPyr6uvM,2013-11-29
id08611,M1hmNb3ynUY,2016-11-29
id08611,TIZLwscbsfw,2017-01-10
id08611,aezF65GzsaA,2014-01-02
id08611,4AyOoKrd1xE,2014-03-28
id08611,FygUjgYLoDM,2017-03-16
id08611,qz3yX8oUMng,2013-09-20
id08611,mqYq80uCpFY,2013-11-09
id08611,IIdu9msDukE,2016-07-01
id08611,Ti_Mco21y8k,2016-12-29
id08611,tGC3H5RAYWs,2017-01-14
id08611,jHQHiGXShsY,2013-08-15
id08611,H4O47qx3vQc,2014-01-03
id08611,htI_sMsX8QE,2013-10-24
id08611,y-yeGasLmtg,2014-01-02
id08611,SpP3helI5cs,2013-12-28
id08611,vx53zqRbRK4,2011-02-09
id08611,yhhh5BTUAyI,2016-08-12
id08928,hloiCrU0T9g,2017-02-07
id08928,_vel2Mqy45k,2014-02-20
id08928,yt0sjXulHnU,2012-07-24
id08928,4iclPNHSWy8,2009-08-01
id08928,rMClAX06Ssk,2010-01-05
id08928,QQJiKzm7iY4,2016-10-13
id08928,K0UMO6DWn84,2014-02-20
id08928,Z1pLHv9OfKo,2012-04-24
id08928,UWxGA2kDpP4,2009-09-21
id08928,kH-Has_IQUc,1800-01-01
id08928,eha2ipPQEg8,2015-07-21
id08928,XDMwcZiYPdE,1800-01-01
id08928,_pyUdi3hjxc,1800-01-01
id08928,Gkv3f-Y3irU,2013-09-10
id08928,wMInupxKhcc,2010-04-09
id08928,beS1JcR8ExI,1800-01-01
id08928,TXFJQALmnV4,1800-01-01
id08928,pfttuRNoXy8,2012-07-20
id08928,t_SsUl3ij9Y,2009-08-01
id08928,EmjQ_n08dB8,2013-05-29
id08928,9ZgPk5LHRug,2013-11-27
id08928,DGUITfdQSwE,2014-09-17
id08928,7l_JUdnbxaA,1800-01-01
id08928,nUYwQNuDNhg,1800-01-01
id08928,_UvPbSmqKvQ,2013-05-29
id08928,uGthNoAn7Do,2014-01-25
id08928,XrQ8zcS6ywk,1800-01-01
id08928,CUDfaBcEbBU,2015-07-21
id08928,T6H4bL1EQOY,2009-10-26
id08928,x4MQxKXvEvE,1800-01-01
id08926,C2kQoox5M4w,2012-07-22
id08926,EX6ICPujOyE,1800-01-01
id08926,sJVitJTxgl8,1800-01-01
id08926,1R0D3QGEyag,2015-03-20
id08926,cZIgKHjla-o,2017-03-17
id08926,xs7qaO0By3w,2014-04-02
id08926,EsPLcY6tzhw,2015-04-20
id08926,W7QzYkbaCDo,2013-11-21
id08926,eoD0vVbipzU,2016-02-09
id08926,BS4u9kHguBI,2016-06-16
id08926,vSGiiThXd14,1800-01-01
id08926,a3W2zER4l7E,2017-04-30
id08926,7wbOsJiHWtM,2016-02-09
id08926,niHd-IZw6w8,2013-11-16
id08926,K85Lt0YIuZM,2016-11-11
id08926,H3nGJ7_wF1A,2009-03-24
id08926,FGXA-bhPUfU,2013-11-16
id08926,K1f1MoHqGdc,2007-09-30
id08926,fUwOfGlz8-Q,2013-11-23
id08926,aNp7gec21IQ,2009-04-11
id08926,2z9Z5pBGzJU,1800-01-01
id08926,cXTbeITc39c,2013-06-29
id08926,f9n2ok6gJ6E,2015-08-11
id08926,IeqvqGzrwbg,2012-07-12
id08926,UvVC4odsoBw,1800-01-01
id08926,3N6b-PqFW-o,2015-11-16
id08926,IPPtrkelug4,2016-07-27
id08926,BjtAA3P1Nn4,2014-11-12
id08926,E4V92XNXOLE,2014-03-01
id08926,Ta3H6V67F-E,2012-10-15
id08926,CLX8cSJgAqI,2015-06-25
id08926,syvSclgu2XI,2016-03-24
id08926,Zr1-Silz7WI,2016-05-28
id08967,xE5HflhCQzI,2012-04-30
id08967,X5xfKvrtRsE,2011-06-21
id08967,YHb0koS2ru0,2016-12-19
id08967,GZ2XXhFMQ_E,2013-02-28
id08967,mIUyHyyAO5k,1800-01-01
id08967,L2b1dZh1rqs,2013-05-02
id08967,jTdI8TMvEGg,2017-02-02
id08967,2NxdQWmB8BY,2012-03-20
id08967,F-azLJC7rcU,1800-01-01
id08967,v2HcgKqzL14,2015-01-09
id09232,Cg8gosjlZuQ,2016-11-22
id09232,nRnTFUpVV_4,2011-03-28
id09232,iWEQ6k548DM,2013-01-11
id09232,t9D5gndqjm0,2012-03-28
id09232,0bw7WPMQGYM,2014-07-18
id09232,Ualh8J5ORHc,2017-02-10
id09232,K-vSwd8TvbA,2014-02-24
id09232,fIpnCH7KrqE,2016-11-23
id09232,40SSkQMCab8,2011-02-11
id09232,wjSn_t2sTvc,2008-09-30
id09232,HPH0447BzIM,2012-06-11
id09232,l8J0y3OcPLQ,2014-08-19
id09232,GWajiMItc1I,2012-09-21
id09232,PymSg80-Q6Q,2016-09-08
id09232,qLLqAvuybOg,2017-05-08
id09232,MZYUamSV8GM,2011-12-11
id09232,XwuxYUQy92Y,2014-03-21
id09232,YKInaAguMds,2010-09-14
id09232,Xj0n6yA_vog,2014-05-07
id09232,ytgKuPegtQo,2016-01-05
id09232,Bl9-BRAEmaM,2016-08-28
id09232,Odv0zlxI4Y4,2013-12-14
id09232,uk7jks-8l0k,2013-06-04
id09232,oW6LjIdqv2U,2016-03-29
id09232,ZLsMyouJ7ew,2015-05-22
id09232,R2-GAUpZVPk,2014-12-16
id09232,RY3qGvRPVdw,2012-07-30
id09232,aMqDtg2q0ZM,2014-09-24
id09232,GgULUOsKUcM,2012-07-20
id09232,gMhIXP4PBAs,2015-04-13
id09232,KGXFH580d6A,2012-11-03
id09232,gvPhCWNTuEE,2015-10-16
id09232,1DBASwhgBXI,1800-01-01
id09232,JvmH58gXjI0,2014-09-29
id09232,uIsfBq2BUN0,2011-10-07
id09232,Ah8hYK9nHMM,2014-12-01
id09232,Xf2-L3i7bFw,2012-03-26
id09232,9MgNeIQ3dYE,2014-03-25
id09232,S-bJqUU-mI8,2014-10-22
id09232,HhzI3gEUHfo,2015-11-21
id09232,D554gWbkdhg,2014-04-05
id09232,4le40Al_8v8,2015-11-10
id09232,95HE2zEHecU,2014-04-07
id09232,q38aJMN8Lm4,2016-11-21
id09161,k7ov3rjhP8U,2016-06-02
id09161,hD0YYEB5ZZQ,1800-01-01
id09161,K3LQwS2yLHo,2016-06-04
id09161,I7slEBj7Vhk,2016-08-02
id09161,YvyJ4z_S940,2014-07-11
id09161,q2S-M_yKjs0,1800-01-01
id09161,FOiEZUkcN1E,2015-06-18
id09161,R8W2A382uKE,2015-08-30
id09161,G4vJcSSp2Dg,2014-07-11
id09161,ZwaoKEWt71g,2015-08-30
id09161,ejVGUUZuAJY,2016-06-01
id09161,RQGkou2topc,2015-07-05
id09161,HPm4658e2I8,2015-05-21
id09161,8Aec--o-WR0,2017-04-11
id09161,inp32GyUbVo,2015-07-14
id09161,TQ1LPRnEjNU,1800-01-01
id09161,D-cth8SocWw,2014-07-13
id09161,cJnoVHyGXqM,1800-01-01
id09161,fGDW3TfZvkE,2015-06-18
id09161,cgFejfTvEWc,2014-12-01
id09161,WC5hbQ7ZG1g,1800-01-01
id08773,7H7k8yCZKR0,2016-03-21
id08773,BKoKSxHsDSY,2015-06-23
id08773,vQsLtLxzcDI,2014-04-28
id08773,MgLkiYUigCg,2015-05-13
id08773,TZJqgM86fyY,2015-11-11
id08773,YQRuJZU2V5A,2016-05-03
id08773,LBU8oCMGCig,2016-12-19
id08773,CvcSUsNjnhc,2015-10-07
id08773,IhY8TPkqZ3c,2015-11-12
id08773,1aq7Fw8bIWQ,2014-04-01
id08773,zrKtAt4fKoM,2015-06-22
id08641,UqsvsTR8z4o,1800-01-01
id08641,5dm7e8wdpDk,2014-07-03
id08641,M6qgNLFEyCM,2014-02-12
id08641,9OK1aJBoBEY,2016-02-26
id08641,48PUrw1vzXs,2009-03-21
id08641,EJtlrvRHba0,2013-10-15
id08641,JChL21YykjM,2016-05-05
id08641,mTCafY8J2Bk,2011-11-29
id08641,jDhFvnzOGC8,2016-09-15
id08641,KZ_Ex8BRfJI,2016-03-01
id08641,MsVGWD94uqc,2015-04-07
id08641,6y2RgZocPaI,2016-05-12
id08641,fUkkjyckGxE,1800-01-01
id08641,yIxQbCEXK9s,2016-05-07
id08641,sC6r5uPe9mQ,2016-05-07
id08641,TtLZ5LjntVE,2014-07-04
id08641,Vo0ENekKtKY,2014-07-07
id08641,H8hDY0vzjLk,1800-01-01
id08641,wnrRfyfg1n8,1800-01-01
id09054,NQJ2vHssDi8,1800-01-01
id09054,rFbVDtX6Q2k,1800-01-01
id09054,E_aET6VAhqs,2014-09-03
id09054,4GhTpu4_ooo,2014-02-27
id09054,hBS-MwS12lg,2015-05-29
id09054,TOVpeuQZy7M,1800-01-01
id09054,aWBSMDiGS_Q,2016-04-30
id09054,y_bh3kvopY8,1800-01-01
id09054,DPMXTwEsjpA,2017-01-18
id09054,K2WgYFPlfJw,2013-09-02
id09054,htiKKiFWoHY,2013-08-12
id09054,bXE59sIuuyw,1800-01-01
id09054,zwpQuwsNsjo,1800-01-01
id09054,biKnOow6CHE,1800-01-01
id09054,rUCwuZk2e2A,2012-12-21
id09054,tVG7Aqes-F0,1800-01-01
id09054,ZrgmtSnrML0,1800-01-01
id09054,ZpqTGgadUVM,2013-12-04
id09054,ohNuNMzhc1I,2016-07-07
id09054,BkPWUrMqVLU,2013-02-17
id09054,E1EWpSvCOfg,2013-04-28
id09054,OtB7r9kwpck,2014-03-12
id09054,5NpDMB0q0iY,2012-12-19
id09054,og0jBxHgqdY,2015-07-23
id09054,bcLNCWc6LZg,1800-01-01
id08768,mH7aWyv57lo,2015-05-11
id08768,UFyaoEmPKzE,2015-03-29
id08768,M3EpkuIiryo,2013-09-26
id08768,G1iCw3bnFwM,2009-10-28
id08768,by5dNHPyUps,2013-03-06
id08768,gPtOWvd_fEU,2015-03-16
id08768,INDABvMtJM8,2013-03-15
id08768,iZN--0Msips,2016-02-12
id08768,e-wdckPQS9Q,1800-01-01
id08768,OdPH0GL2SEA,2012-09-04
id08768,i0u394acaGQ,2015-03-25
id08768,0cI5T0RZgaQ,2010-02-02
id08768,4BAhTMLlq0c,1800-01-01
id08768,Ufcyq71bOic,2012-09-04
id08768,jVla538BLbg,2014-09-08
id08768,ZdPkrzajX4Q,2015-03-23
id08768,eqcodjZew88,1800-01-01
id08768,inTtfhf3_iY,2015-05-11
id08768,yB-7EvoZD34,2013-10-21
id08768,pq96lh5rLb0,2015-02-09
id08768,GVMunmlSwxM,2013-03-17
id08535,XTCvMz56EYE,2012-01-27
id08535,RCu_MiPAqbM,2016-09-22
id08535,pnXdpzJ37u8,2016-04-15
id08535,QJvtDfil2AU,2011-07-22
id08535,MT3LtMM8RHM,1800-01-01
id08535,D7m0kK33I4c,2013-06-16
id08535,9h7bUiT7mZw,2013-06-24
id08535,SDrC2YDI3H4,2014-03-13
id08535,Hx2nZ_HcH4U,2016-02-25
id08535,OYu7lALNp_c,2013-07-18
id08535,qhyO2pYy5jA,1800-01-01
id08535,5o8MeZNiP0E,2016-06-19
id08535,vMsTzMlderg,2016-02-23
id08535,VoQ2mHpLOhM,1800-01-01
id08535,HbbyFxS7N1s,2011-07-18
id08535,tKOUzWtJvOc,2012-08-21
id08535,3GuOwxynHz4,2014-07-08
id08535,84QoEctilT0,2012-07-12
id08535,9UdXx_VaokU,2016-02-24
id08535,OLFpNnghiow,2012-06-12
id08535,h3sjmlEhiso,2014-10-12
id08535,FwsQ-pngnIk,2017-02-22
id08535,9r9XPuDRryQ,2017-04-22
id08535,Vkpkgz2ZCks,2011-07-18
id08535,pogj_ZZvwTM,2011-07-17
id08535,eyv_yBODC9o,1800-01-01
id08520,yUkE85O2STA,2008-08-04
id08520,DyD-InvSns0,2015-07-31
id08520,xvlmHHFQJbg,2015-12-17
id08520,_YIvEW5C4Eg,2015-07-30
id08520,WX1jU4UXWP4,1800-01-01
id08520,9c_S0cXl51s,2016-12-09
id08520,RdfvpLdA7wY,2016-03-15
id08520,F1HwSk_e2r8,2014-12-09
id08520,cTY29vhenyY,2015-10-05
id08520,BsKnuBGuyx4,1800-01-01
id08520,x9WZt9QIcqE,2012-03-09
id08520,R_mQgCSTeoY,2016-07-29
id08520,71FRFxu4L4Y,2016-05-18
id08520,lukeKxfkIZU,2014-07-24
id08520,3GmT1LL26sY,2014-10-05
id08520,Z9ThU5w2Fow,2015-12-01
id08520,P1Hms63-qtY,2015-11-12
id08520,ixqctq7q7Ac,2012-06-28
id08520,r04dDgwhe8s,2012-03-04
id08520,lB1_PaYbr3U,1800-01-01
id08520,jD7b3O4c2hE,1800-01-01
id08520,gXr6oIDI_HM,2014-02-03
id08520,zBuArAH5m7A,2014-11-04
id08520,lw6Cu1wbC4Q,2015-01-22
id08520,n9imfi4N_bU,2015-10-07
id08520,VmF8afNZlJQ,2017-02-26
id08520,M2MFCVWvBZc,2015-10-30
id08520,jZVn7HiDHBI,2014-08-17
id08955,ibhwKqjVg2o,2015-05-17
id08955,dy44bhRjgxE,2016-08-30
id08955,LURG8xiUdeg,2015-04-30
id08955,nT3vsX4Go8Q,1800-01-01
id08955,vZDI_q5XDBo,2015-09-21
id08955,KyuWEM5qM80,2016-11-09
id08955,zc-wVDoRCMg,2017-04-01
id08955,Qj_0U9rDqwc,2016-09-06
id08955,IhnFthcBGZM,2015-06-13
id08740,ZwGDxTxMBJg,1800-01-01
id08740,CZbAnPHzjaE,2014-12-09
id08740,or97X2ciemA,1800-01-01
id08740,IXA6YQszCpk,1800-01-01
id08740,kWYDzz5hldc,1800-01-01
id08740,xRh0_NqoSUE,2011-06-03
id08740,eK40wktzYA8,2016-12-02
id08740,XG2-DJcCg7I,1800-01-01
id08740,F-wvfUVUoss,2015-04-26
id08740,D7FNod-mT7E,2016-11-28
id08740,jCvBsgZnmHA,1800-01-01
id08740,bL4caug-t_Y,2010-02-05
id08740,5-nAmf2Fzbc,2011-11-16
id08740,IQ7C4dvCul0,2008-05-16
id08740,EIBsNOJs9t8,1800-01-01
id08740,6hVyTWEvk6Y,2014-03-24
id08740,X3gkLxYB2mU,2016-05-17
id08740,Jk6nd7RNruI,2012-02-01
id08740,lACeafD6DDg,1800-01-01
id08740,e3dlsGXPJ8I,2017-01-08
id08740,C1g62dZO4E8,2015-09-10
id08740,Vg9GJ77rCU8,2012-08-23
id08740,lY-5VbpEfPo,2011-11-11
id08755,DjQTK_MpFXc,2009-11-18
id08755,RYsYoY1it7I,2015-04-19
id08755,1Gvp47ECGwI,2011-10-08
id08755,RXxgryJ1eec,1800-01-01
id08755,_hMY-5eCDVI,2013-08-06
id08755,cFFeVUfs0Ic,1800-01-01
id08755,WY-fPsD7eZc,2015-02-02
id08755,ZawMH5GBQD8,2012-08-09
id08755,l_89ATkZPNg,2014-06-02
id08755,aJf1Bgfzx-U,2012-12-23
id08755,GjT1O03diso,2013-02-26
id08755,PpCSrdE8Hp0,2014-05-23
id08755,m8YkDLvKLJg,2010-11-05
id08755,py2uNtdOSXM,1800-01-01
id08755,ld8-IDtN9Uo,2009-07-14
id08755,uMLMYjZ5Rvk,1800-01-01
id08755,zjHtxPew5Os,2010-10-24
id08755,DAN4w8aB128,1800-01-01
id08755,OYDlpztvVsM,1800-01-01
id08755,O8XNMDyStFk,2009-11-18
id08755,XFX7rVJAy2A,1800-01-01
id08755,qZanYTKxRMA,2011-10-08
id08755,JEHDWgoDWb0,2010-10-26
id08755,GDZFNdcUfhw,2009-07-14
id08755,_egRi_Tlkuw,1800-01-01
id09070,uhhNQE-XYn8,2013-01-28
id09070,eHy6PuphIOc,2014-02-04
id09070,HhYLn_my4Rc,2014-01-14
id09070,XOjl8KRZBX0,2013-09-27
id09070,030sDUyKD50,1800-01-01
id09070,ljHIquM4hvE,2014-01-31
id09070,Ja6TzL6N3qE,1800-01-01
id09070,U_uRmGZlS-Q,2014-01-27
id09070,A-_NJQuO9M4,2013-02-13
id09070,ZY3sJKnlN0w,2013-11-18
id09070,GgrVMvYrKcw,2013-01-31
id09070,SR72T4E6woU,2013-01-11
id09070,V-A_NZgg-fo,1800-01-01
id09070,hT5cH9hMhKc,2017-02-27
id09070,rMwJGurn7ao,2017-03-23
id09070,5xZ_4B8CzmA,2016-04-14
id09070,3gNN6MSwv78,2013-10-01
id09234,Tm0lLl9pKCs,2016-06-21
id09234,kTJ02tYpmLQ,2014-06-19
id09234,U5l2C9F2hNE,2010-06-11
id09234,chpBq83WPpE,2015-03-26
id09234,agdfSban-rk,2014-06-19
id09234,IMQ_Lw2XLCE,2017-04-21
id09234,ly7FE9MQ15k,2012-10-29
id09234,vSTHiPORaj0,1800-01-01
id09234,bxfJ9XK1Mhk,2014-03-26
id09234,IYJ6Kz_-L3Y,1800-01-01
id09234,Jh9e3DO2aZ8,2014-06-19
id09234,k8b7BESrXqg,2014-08-31
id09234,WXd_1IFqGCo,2016-08-25
id09234,kjAAmqMU3Og,2011-03-25
id09234,gaVsXIChcVQ,1800-01-01
id09234,YHSUxouctzU,2014-06-02
id09234,z78AAvh5zL8,2013-06-13
id09234,oJw97dKYeK0,2017-02-24
id09234,ESHCPFnzX90,2014-10-13
id09234,_UdUGaO8XCA,2016-09-12
id09234,_bQcPoUgalQ,2010-08-28
id09234,V3j6f39RYes,2012-04-23
id09234,JRbS76s67EY,2017-01-23
id09234,8sUKy6Ul2Sc,2014-10-30
id09234,Yf_22pTPpL0,2012-07-23
id08900,2kmKA11r0ZA,2011-01-01
id08900,np8z9ZdyGow,2016-02-01
id08900,wzkqWMPhIp8,2014-02-19
id08900,Wfekx7QCZVg,2012-12-04
id08900,MYv_DXYHiFM,1800-01-01
id08900,OuLdUaGf8wg,2007-09-13
id08900,I3vcV3y9oRI,1800-01-01
id09028,vnvyZHEaHDU,2011-11-22
id09028,TKgNNnzrX_4,2017-05-09
id09028,d74z7TOXJio,1800-01-01
id09028,gC8wHtwhnZw,2014-11-06
id09028,4f8IoTgW8z0,2014-04-28
id09028,CkiTk7zR8Zs,2012-11-22
id09028,2HgpwyiMUEE,2015-11-24
id09028,_KymcHdEW0U,2016-05-25
id09028,JQffceqQXp4,2011-06-22
id09028,DwK2JNH10zE,2016-05-04
id09028,rYFyZz7TPGw,2015-07-29
id09028,IUHFhE6xedU,2011-08-24
id09028,CqQNulTeZps,2014-04-28
id09028,ZDFB4lD4U2I,2016-02-04
id09028,_33a37huDY8,2012-06-08
id09028,11xxoaj4aEA,1800-01-01
id09028,nqSiNWupqAU,2012-03-03
id08601,OCmxxb-ftCE,1800-01-01
id08601,7nDwskuSJOo,2010-11-17
id08601,Q1yvOGlyilU,2016-11-07
id08601,9Xa69dx1csE,2012-07-09
id08601,Sh-s1GwXcFU,2016-05-30
id08601,ZDUKV0am2ZY,2010-07-02
id08601,AJDEF5ZPT_g,2012-09-29
id08601,3TD1ZpfUOBM,2010-08-22
id08601,GKAZbfyk97I,2010-07-16
id08601,9d2oqzksyf4,2012-10-03
id08601,ON7YtCfekGM,2011-03-18
id08601,hJEjDrqb3W4,1800-01-01
id08601,qCi4De_Qagg,2010-06-30
id08601,bLi1fFGGEFM,1800-01-01
id08601,vIGZAjHWB2c,2011-04-27
id08601,D2tk1wSXXTU,2013-11-21
id08601,6dV3ZqUmkHU,2014-05-21
id08601,lD-JySACfRM,2017-03-07
id08601,8hllaSfuMlg,2012-08-23
id08601,IerJ6CsNgVk,2011-08-23
id08601,jraajBzlxf0,2016-12-13
id08601,ftx2Vh7RJNI,2012-06-19
id08601,BEuhUtpXysA,2016-10-26
id08601,aDMCFrFW5kk,2016-08-01
id08601,MskBq-M1jiw,2013-02-14
id08754,xia2m6iSNFs,2016-09-22
id08754,FCZreJYTO5c,2017-02-13
id08754,Coi_flId0W4,1800-01-01
id08754,xZw5Oc6Y5lo,2016-08-11
id08754,hgbqFwbOqFI,1800-01-01
id08754,lSxASoDbq4E,2017-01-08
id08754,Ek7bwlSfFW4,2015-06-17
id08754,0S3IM-i6PMU,1800-01-01
id08754,c04rQu_axiM,2016-10-24
id08754,__SL7EqALmE,2016-08-26
id08754,BINxG_CO3M4,1800-01-01
id08754,b-WeksV0D6I,2017-01-29
id08754,GTS-bbRw1w8,2016-09-09
id08754,wwiN15wA-Ls,1800-01-01
id08754,bQqhbfc5NEI,2017-02-15
id08754,yVG7a-I3fE0,2016-08-11
id08754,6fWf-XASQl4,1800-01-01
id08754,W8-EER1bsIQ,2016-09-24
id08754,DrjdXDaPHgk,2016-06-29
id08754,BwZflcEz3sI,2017-02-15
id08754,IhGXo_fhcrM,1800-01-01
id08754,Pn5ajeWS4jI,2017-03-04
id08754,YBTGzS4xtv0,1800-01-01
id08754,CqTfJaZlWQ8,1800-01-01
id08754,5A5VmBIO0D8,2017-01-07
id08754,A1VsHQvI-CM,2016-08-28
id08754,sKAM1rkt878,2017-04-15
id08820,I6g7dsEzbss,2011-07-18
id08820,bvysV4F6edc,2014-02-25
id08820,IFAIgevitQ4,2011-02-16
id08820,_4bCV1zvZsg,2011-07-18
id08820,h0Wk4jyXKqw,2011-07-18
id08820,97Upxgaru68,2017-02-17
id08820,0Jk1RgYV6X0,2011-09-09
id08820,rXzqhIr5fiE,2011-07-18
id08820,sa_ZDGpaYDQ,2012-09-09
id08820,j8gEIIgVeiE,2016-11-09
id08820,qyYHNXrNFws,2012-03-27
id08820,5DKrOvtoOpo,2011-07-18
id08820,Xm-D3Bh5fWM,2016-02-17
id08820,A_4E8RQiy40,2016-09-14
id08820,49gBhDqSpa4,1800-01-01
id08820,SodM_l8wH40,2011-07-18
id08820,vhE0ifZkCdg,2016-09-09
id08820,Uue-sZdJRbQ,2009-09-17
id08820,EeIIySoXhwc,2009-10-01
id08820,eCc7v_EesIc,2016-09-09
id08820,LQ_yvPGi_Ro,2011-07-18
id08820,yBhG3xliDWY,2017-03-09
id08820,5sWN5vyjGbA,2014-09-10
id08820,3wrKpsNJ4IM,2009-10-08
id08820,VYb1PN_qajQ,2011-03-19
id08820,V29dAzCFy6w,2009-10-04
id08820,YinHcerpJ58,2009-10-11
id08820,c-Ys56VCKy8,2013-09-26
id08820,sRjZb6kaLmY,2013-04-30
id08820,eNwEmJ-0VGY,2011-07-18
id08820,bywL3jlP0VE,2013-07-29
id08820,k5Bmk_CpxMA,1800-01-01
id08820,wyPz28RZcYY,2014-02-20
id08820,YoXLpd0w4EE,2011-07-18
id08820,2LkBVai_-1w,2009-10-02
id08820,Ay8I6GWpGUs,1800-01-01
id08820,EylWAizn98Q,2009-10-02
id08820,JWCqUHA-tso,2011-07-18
id08877,GdxfWT5bzgU,2008-09-05
id08877,6rxTxHm25pk,1800-01-01
id08877,caRH44IRy0I,2010-03-27
id08877,Zq12ZEyYCts,2010-03-30
id08877,DpETTwXLOO8,2008-09-05
id08877,Rjev2W2bN5A,2008-09-15
id08877,gvPKFvMVtek,2008-09-05
id08877,ndm9T99StCM,1800-01-01
id08877,qJ8z40xW1h4,1800-01-01
id08877,XH28HhWyjdI,2008-09-15
id08877,B1y9BL-ozRM,2008-09-05
id08877,JHThABj4U1E,2013-07-31
id08877,CDMIetGTiWA,2017-04-07
id08877,tj1TmaOWMP4,2009-02-09
id08877,c8D9ST0Pitk,2017-01-03
id09202,E_PMd_L8tgI,2015-08-04
id09202,8DfWneZfEyc,2014-09-23
id09202,Dsyb1MPLgJ8,2014-09-17
id09202,PcOkVx0czio,2013-11-26
id09202,oh6Dl5ZFAUI,2012-07-27
id09202,nkQI5_O4rfw,2014-09-06
id09202,4IolbeePHrM,2012-10-31
id09202,10tNrD_DPkw,2014-10-29
id08831,8BK6xA4MLJw,1800-01-01
id08831,3CaeZ3iraxc,1800-01-01
id08831,oDqfJ5P-bYY,2017-03-30
id08831,se10tb0RsKk,2017-03-27
id08831,Q4OUuCuSwio,2014-04-10
id08831,ZROGe8DturU,2016-07-25
